Trial,Status,Population,Continent,Duration
c-o1,control,ON,NAm,1155
c-o2,control,ON,NAm,1522
c-o3,control,ON,NAm,1279
c-o4,control,ON,NAm,1335
c-o5,control,ON,NAm,1115
c-o6,control,ON,NAm,1203
c-o7,control,ON,NAm,1698
c-o8,control,ON,NAm,1090
c-o9,control,ON,NAm,1322
c-o10,control,ON,NAm,1403
c-o11,control,ON,NAm,1720
c-o12,control,ON,NAm,1347
c-o13,control,ON,NAm,1656
c-o14,control,ON,NAm,1438
c-o15,control,ON,NAm,1410
c-o16,control,ON,NAm,1325
c-s2,control,NY,NAm,1374
c-s3,control,NY,NAm,1727
c-s4,control,NY,NAm,1510
c-s5,control,NY,NAm,1693
c-s6,control,NY,NAm,1205
c-s7,control,NY,NAm,1102
c-s8,control,NY,NAm,1456
c-s9,control,NY,NAm,1853
c-s10,control,NY,NAm,1141
c-s11,control,NY,NAm,1192
t2-s6,t2,NY,NAm,906
t2-s7,t2,NY,NAm,1025
t2-s8,t2,NY,NAm,1154
t2-s9,t2,NY,NAm,1182
t2-s10,t2,NY,NAm,1000
t3-s1,t3,NY,NAm,1126
c-l1,control,DE,EU,1059
c-l2,control,DE,EU,1163
c-l3,control,DE,EU,883
c-l4,control,DE,EU,1265
c-l5,control,DE,EU,1113
c-l6,control,DE,EU,1167
c-l7,control,DE,EU,939
c-l8,control,DE,EU,1078
c-l9,control,DE,EU,1177
t2-l2,t2,DE,EU,1241
t2-l3,t2,DE,EU,972
t2-l4,t2,DE,EU,932
t2-l5,t2,DE,EU,842
t2-l6,t2,DE,EU,1360
t3-l1,t3,DE,EU,1123
t3-l2,t3,DE,EU,1142
t3-l3,t3,DE,EU,1003
c-t1,control,IT,EU,1548
c-t2,control,IT,EU,1381
c-t3,control,IT,EU,1455
c-t4,control,IT,EU,1805
c-t5,control,IT,EU,1501
c-t6,control,IT,EU,1012
c-t7,control,IT,EU,572
c-t8,control,IT,EU,968
c-t9,control,IT,EU,1465
c-t10,control,IT,EU,1118
t2-t1,t2,IT,EU,1497
t2-t2,t2,IT,EU,1466
t2-t3,t2,IT,EU,1210
t2-t4,t2,IT,EU,1369
t2-t5,t2,IT,EU,1176
t2-t6,t2,IT,EU,1058
t2-t7,t2,IT,EU,1256
t2-t8,t2,IT,EU,1064
t2-t9,t2,IT,EU,1004
t2-t10,t2,IT,EU,1365
t3-t1,t3,IT,EU,841
t3-t2,t3,IT,EU,1488
t3-t3,t3,IT,EU,1358
t3-t4,t3,IT,EU,1208
t3-t5,t3,IT,EU,1429
t3-t6,t3,IT,EU,1297
t3-t7,t3,IT,EU,1201
t3-t8,t3,IT,EU,1663
t3-t9,t3,IT,EU,1349
t3-t10,t3,IT,EU,1280
