Population,Continent,Status,Mated,Duration
ON,NAm,Control,1,19
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,25
ON,NAm,Control,1,17
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,22
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,18
ON,NAm,Control,1,27
ON,NAm,Control,0,NA
ON,NAm,Control,1,22
ON,NAm,Control,1,24
ON,NAm,Control,1,21
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,23
ON,NAm,Control,1,28
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,22
ON,NAm,Control,1,27
ON,NAm,Control,1,24
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,23
ON,NAm,Control,1,22
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,17
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,23
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,18
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,1,22
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,Control,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T1,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T2,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
ON,NAm,T3,0,NA
